Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:26:36  609937857 0         0            41252           609910237  27620     
22:26:38  609960190 0         0            41252           609932570  27620     
22:26:40  609982979 0         0            41252           609955359  27620     
22:26:42  610005586 0         0            41252           609977966  27620     
22:26:44  610031959 0         0            41252           610004339  27620     
22:26:46  610055215 0         0            41252           610027595  27620     
22:26:48  610078681 0         0            41252           610051061  27620     
22:26:50  610101700 0         0            41252           610074080  27620     
22:26:52  610124906 0         0            41252           610097286  27620     
22:26:54  610147780 0         0            41252           610120160  27620     
22:26:56  610168757 0         0            41252           610141137  27620     
22:26:58  610190112 0         0            41252           610162492  27620     
22:27:00  610210973 0         0            41252           610183353  27620     
22:27:02  610233387 0         0            41252           610205767  27620     
22:27:04  610254325 0         0            41252           610226705  27620     
22:27:06  610275578 0         0            41252           610247958  27620     
22:27:08  610296767 0         0            41252           610269147  27620     
22:27:10  610318059 0         0            41252           610290439  27620     
22:27:12  610339290 0         0            41252           610311670  27620     
22:27:14  610360120 0         0            41252           610332500  27620     
22:27:16  610381844 0         0            41252           610354224  27620     
22:27:18  610403522 0         0            41252           610375902  27620     
22:27:21  610425764 0         0            41252           610398144  27620     
22:27:23  610445640 0         0            41252           610418020  27620     
22:27:25  610466802 0         0            41252           610439182  27620     
22:27:27  610488785 0         0            41252           610461165  27620     
22:27:29  610511472 0         0            41252           610483852  27620     
22:27:31  610544592 0         0            41252           610516972  27620     
22:27:33  610569766 0         0            41252           610542146  27620     
22:27:35  610598681 0         0            41252           610571061  27620     
22:27:37  610620321 0         0            41252           610592701  27620     
22:27:39  610643029 0         0            41252           610615409  27620     
22:27:41  610665913 0         0            41252           610638292  27621     
22:27:43  610688219 0         0            41252           610660598  27621     
22:27:45  610715537 0         0            41252           610687916  27621     
22:27:47  610737364 0         0            41252           610709743  27621     
22:27:49  610760583 0         0            41252           610732962  27621     
22:27:51  610784034 0         0            41252           610756413  27621     
22:27:53  610807154 0         0            41252           610779533  27621     
22:27:55  610830423 0         0            41252           610802802  27621     
22:27:57  610851016 0         0            41252           610823395  27621     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:27:59  610872629 0         0            41252           610845008  27621     
22:28:01  610894137 0         0            41252           610866516  27621     
22:28:03  610916557 0         0            41252           610888936  27621     
22:28:05  610937539 0         0            41252           610909918  27621     
22:28:07  610958276 0         0            41252           610930655  27621     
22:28:09  610979229 0         0            41252           610951608  27621     
22:28:11  611000407 0         0            41252           610972786  27621     
22:28:13  611021304 0         0            41252           610993683  27621     
22:28:15  611043065 0         0            41252           611015444  27621     
22:28:17  611064334 0         0            41252           611036713  27621     
22:28:19  611085121 0         0            41252           611057500  27621     
22:28:21  611106611 0         0            41252           611078990  27621     
22:28:23  611127353 0         0            41252           611099732  27621     
22:28:25  611147947 0         0            41252           611120326  27621     
22:28:27  611169105 0         0            41252           611141484  27621     
22:28:29  611196010 0         0            41252           611168389  27621     
22:28:31  611228664 0         0            41252           611201043  27621     
22:28:33  611251397 0         0            41252           611223776  27621     
22:28:35  611280510 0         0            41252           611252889  27621     
22:28:37  611303736 0         0            41252           611276115  27621     
22:28:39  611326203 0         0            41252           611298582  27621     
22:28:41  611347684 0         0            41252           611320063  27621     
22:28:43  611369903 0         0            41252           611342282  27621     
22:28:45  611396977 0         0            41252           611369356  27621     
22:28:47  611419582 0         0            41252           611391961  27621     
22:28:49  611442409 0         0            41252           611414788  27621     
22:28:51  611466041 0         0            41252           611438420  27621     
22:28:53  611489409 0         0            41252           611461788  27621     
22:28:55  611510961 0         0            41252           611483340  27621     
22:28:57  611532603 0         0            41252           611504982  27621     
22:28:59  611554000 0         0            41252           611526379  27621     
22:29:01  611575495 0         0            41252           611547874  27621     
22:29:03  611596808 0         0            41252           611569187  27621     
22:29:05  611617399 0         0            41252           611589778  27621     
22:29:07  611638577 0         0            41252           611610956  27621     
22:29:09  611659928 0         0            41252           611632307  27621     
22:29:11  611681089 0         0            41252           611653468  27621     
22:29:13  611702331 0         0            41252           611674710  27621     
22:29:15  611723434 0         0            41252           611695813  27621     
22:29:17  611744468 0         0            41252           611716847  27621     
22:29:19  611766182 0         0            41252           611738561  27621     
22:29:21  611787235 0         0            41252           611759614  27621     
22:29:23  611807320 0         0            41252           611779699  27621     
22:29:25  611828225 0         0            41252           611800604  27621     
22:29:27  611851434 0         0            41252           611823813  27621     
22:29:29  611881055 0         0            41252           611853434  27621     
22:29:31  611909777 0         0            41252           611882156  27621     
22:29:33  611935539 0         0            41252           611907918  27621     
22:29:35  611960378 0         0            41252           611932757  27621     
22:29:37  611984111 0         0            41252           611956490  27621     
22:29:39  612008463 0         0            41252           611980842  27621     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:29:41  612031265 0         0            41252           612003644  27621     
22:29:43  612052874 0         0            41252           612025253  27621     
22:29:45  612080054 0         0            41252           612052433  27621     
22:29:47  612103215 0         0            41252           612075594  27621     
22:29:49  612126215 0         0            41252           612098594  27621     
22:29:51  612149384 0         0            41252           612121763  27621     
22:29:53  612170721 0         0            41252           612143100  27621     
22:29:55  612191244 0         0            41252           612163623  27621     
22:29:57  612212158 0         0            41252           612184537  27621     
22:30:00  612233074 0         0            41252           612205453  27621     
22:30:02  612256001 0         0            41252           612228380  27621     
22:30:04  612276501 0         0            41252           612248880  27621     
22:30:06  612295974 0         0            41252           612268353  27621     
22:30:08  612317110 0         0            41252           612289489  27621     
22:30:10  612338399 0         0            41252           612310778  27621     
22:30:12  612359135 0         0            41252           612331514  27621     
22:30:14  612380103 0         0            41252           612352482  27621     
22:30:16  612400693 0         0            41252           612373072  27621     
22:30:18  612422053 0         0            41252           612394432  27621     
22:30:20  612443345 0         0            41252           612415724  27621     
22:30:22  612464516 0         0            41252           612436895  27621     
22:30:24  612485464 0         0            41252           612457843  27621     
22:30:26  612506112 0         0            41252           612478491  27621     
22:30:28  612528304 0         0            41252           612500683  27621     
22:30:30  612559835 0         0            41252           612532214  27621     
22:30:32  612585516 0         0            41252           612557895  27621     
22:30:34  612611610 0         0            41252           612583989  27621     
22:30:36  612635987 0         0            41252           612608366  27621     
22:30:38  612658725 0         0            41252           612631104  27621     
22:30:40  612681688 0         0            41252           612654067  27621     
22:30:42  612704270 0         0            41252           612676649  27621     
22:30:44  612725477 0         0            41252           612697856  27621     
22:30:46  612753196 0         0            41252           612725575  27621     
22:30:48  612775693 0         0            41252           612748072  27621     
22:30:50  612797905 0         0            41252           612770284  27621     
22:30:52  612820771 0         0            41252           612793150  27621     
22:30:54  612843628 0         0            41252           612816007  27621     
