Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:26:53  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:55  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:57  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:59  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:01  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:03  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:05  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:07  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:09  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:11  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:13  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:15  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:17  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:19  1515367             1749          417          1332            502803          768                745                0                         2928     
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:27:21  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:23  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:25  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:27  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:29  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:31  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:33  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:35  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:37  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:39  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:41  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:43  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:45  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:47  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:49  1515367             1749          417          1332            502803          768                745                0                         2928     
22:27:51  1515367             1749          417          1332            502803          768                745                0                         2928     
