Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM   frmpg/s   bufpg/s   campg/s
05:38:43 PM    -83.33      0.51      1.01
05:38:45 PM    111.62      0.00      2.53
05:38:47 PM   -152.53      0.00      1.52
05:38:49 PM     87.94      0.00      2.01
05:38:51 PM    -39.80      0.00      0.51
05:38:53 PM    -15.23      0.00      2.54
05:38:55 PM     56.35      0.00      1.02
05:38:57 PM  -1386.93      0.00      0.50
05:38:59 PM   1140.61      0.00      1.52
05:39:01 PM    156.57      0.00      2.53
05:39:03 PM      5.53      0.00      2.01
05:39:05 PM    -54.27      0.00      1.51
05:39:07 PM  -1129.29      0.00      1.01
05:39:09 PM   1091.88      0.00      2.54
05:39:11 PM  -1399.49      0.00      0.51
05:39:13 PM     94.44      0.00      1.52
05:39:15 PM   1157.79      0.00      1.01
05:39:17 PM    -35.68      0.00      2.51
05:39:19 PM    -32.99      0.00      1.52
05:39:21 PM    113.57      0.00      0.50
05:39:23 PM     69.19      0.00      1.52
05:39:25 PM   -169.54      0.00      1.02
05:39:27 PM     44.95      0.00      2.53
05:39:29 PM    118.09      0.00      1.51
