Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM  active/s passive/s    iseg/s    oseg/s
05:32:41 PM      0.50      0.00   9045.73   7656.78
05:32:43 PM      0.00      0.00   8744.67  10620.30
05:32:45 PM      0.51      0.00   8991.88   9448.73
05:32:47 PM      0.50      0.00   7583.50   8733.00
05:32:49 PM      0.00      0.00   7647.00   9129.00
05:32:51 PM      0.51      0.00   7754.55   8359.60
05:32:53 PM      0.50      0.00   8571.86  10728.64
05:32:55 PM      0.00      0.00   8738.69  10343.72
05:32:57 PM      0.51      0.00   7829.95   9385.79
05:32:59 PM      0.51      0.00   9446.70   9130.96
05:33:01 PM      0.00      0.00   8775.88   9880.90
05:33:03 PM      1.01      0.00   8265.66   9599.49
05:33:05 PM      0.51      0.00   5409.74   7195.38
05:33:07 PM      0.00      0.00  13504.57   9421.32
05:33:09 PM      0.51      0.00  11978.97  10233.85
05:33:11 PM      0.51      0.00   8694.95  11018.18
05:33:13 PM      0.00      0.00   8639.90  10486.36
05:33:15 PM      0.51      0.00   7930.10   9306.12
05:33:17 PM      0.51      0.00   7359.09   8752.02
05:33:19 PM      0.00      0.00   7538.69   9967.84
05:33:21 PM      0.50      0.00   8689.45   8173.87
05:33:23 PM      0.51      0.00   8746.70  10547.21
05:33:25 PM      0.00      0.00   7839.00   8914.50
05:33:27 PM      0.52      0.00   8671.65  10531.44
05:33:29 PM      0.50      0.00   7694.97   9496.98
05:33:31 PM      0.00      0.00   8245.41  10159.69
05:33:33 PM      0.50      0.00   7793.50   9092.00
05:33:35 PM      0.50      0.00   8392.50   9462.50
05:33:37 PM      0.00      0.00   9501.02   9980.71
05:33:39 PM      0.50      0.00   7691.00   8866.00
05:33:41 PM      0.51      0.00   9873.74  10467.17
05:33:43 PM      0.00      0.00   8242.21   9379.90
05:33:45 PM      0.51      0.00  10092.39   9232.99
05:33:47 PM      0.51      0.00   7747.47  10037.37
05:33:49 PM      0.00      0.00   7724.49   8650.51
05:33:51 PM      0.51      0.00   9119.29  10055.33
05:33:53 PM      0.50      0.00   9066.33   9990.45
05:33:55 PM      0.00      0.00   9340.91   9886.87
05:33:57 PM      1.01      0.00   9080.81  10361.11
05:33:59 PM      0.50      0.00   9094.50  10142.00
05:34:01 PM      0.00      0.00   8960.30   9571.36
05:34:03 PM      0.50      0.00   9474.37  11113.57
05:34:05 PM      1.52      0.00   7850.51  10117.68
05:34:07 PM      0.00      0.00   7054.36   8529.23
05:34:09 PM      0.50      0.00   9150.00  10278.00
05:34:11 PM      0.50      0.00   8062.00  10513.00
05:34:13 PM      0.00      0.00   7946.19  10303.05
05:34:15 PM      0.50      0.00   7721.11  10292.46
05:34:17 PM      0.50      0.00   5965.33   8168.34
05:34:19 PM      0.00      0.00   7312.06   9457.29
05:34:21 PM      0.51      0.00   9022.34  11089.34
05:34:23 PM      0.50      0.00   8912.06  11340.70
05:34:25 PM      0.00      0.00   9164.29  11476.53
05:34:27 PM      0.50      0.00   9614.00  11184.50
05:34:29 PM      0.51      0.00   8783.16  10250.51
05:34:31 PM      0.00      0.00   9026.13  10369.85
05:34:33 PM      0.51      0.00   8797.47  11141.92
05:34:35 PM      0.51      0.00   9239.80  11641.84
05:34:37 PM      0.00      0.00   8916.75   9613.20
05:34:39 PM      0.50      0.00   8460.30  10153.77
05:34:41 PM      0.50      0.00   9721.11  10319.60
05:34:43 PM      0.00      0.00   9441.62  10122.34
05:34:45 PM      0.50      0.00   9203.52  10453.27
05:34:47 PM      0.51      0.00   6989.39   8953.03
05:34:49 PM      0.00      0.00   7347.47   9134.85
05:34:51 PM      0.51      0.00  11296.97  10871.72
05:34:53 PM      1.01      0.00   9120.10  10705.03
05:34:55 PM      0.00      0.00   8844.72  10205.03
05:34:57 PM      0.50      0.00   7795.52   8981.59
05:34:59 PM      0.51      0.00   9541.12   8918.27
05:35:01 PM      0.00      0.00   8599.00  10001.50
05:35:03 PM      0.50      0.00   8876.38  11266.33
05:35:05 PM      0.51      0.00   8784.85  11295.45
05:35:07 PM      0.00      0.00   9656.28  10950.75
05:35:09 PM      0.50      0.00   9548.74  10879.90
05:35:11 PM      0.50      0.00   9869.00  10726.50
05:35:13 PM      0.00      0.00   9812.63  11188.38
05:35:15 PM      0.51      0.00   8872.08  10431.47
05:35:17 PM      0.50      0.00   8906.50  11202.00
05:35:19 PM      0.00      0.00   8990.45  11266.33
05:35:21 PM      0.50      0.00   9124.62  10690.45
05:35:23 PM      0.51      0.00   8511.11   9980.30
