Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM    proc/s   cswch/s
05:41:33 PM      6.03  37431.16
05:41:35 PM      6.53  37606.53
05:41:37 PM      6.50  37782.50
05:41:39 PM      6.03  36561.81
05:41:41 PM      6.53  37347.74
05:41:43 PM      5.53  37838.69
05:41:45 PM      3.55  37315.74
05:41:47 PM      6.03  33456.78
05:41:49 PM      6.06  37707.07
05:41:51 PM      7.61  38283.76
05:41:53 PM      6.06  30574.75
05:41:55 PM      7.61  30992.89
05:41:57 PM     17.59  38553.77
05:41:59 PM      8.54  35816.58
05:42:01 PM      7.58  33407.07
05:42:03 PM      7.58  35489.39
05:42:05 PM     11.73  38992.35
05:42:07 PM     11.56  33883.42
05:42:09 PM      7.61  34189.34
05:42:11 PM     11.62  37465.15
05:42:13 PM     13.00  39238.50
05:42:15 PM     14.72  39074.11
05:42:17 PM      8.59  33664.14
05:42:19 PM      8.59  33124.24
05:42:21 PM      7.61  31517.77
05:42:23 PM      6.06  31887.37
05:42:25 PM      4.55  37765.66
05:42:27 PM      4.55  37925.76
05:42:29 PM      6.03  37811.06
05:42:31 PM      7.61  37723.86
05:42:33 PM      6.12  38335.71
05:42:35 PM      6.60  32895.94
05:42:37 PM      7.00  38098.00
05:42:39 PM      6.06  37501.52
05:42:41 PM      6.12  35514.80
05:42:43 PM      6.03  29948.24
05:42:45 PM      6.03  36881.41
05:42:47 PM      6.03  32293.97
05:42:49 PM      6.06  33799.49
05:42:51 PM      8.59  33021.72
05:42:53 PM      6.09  34725.89
05:42:55 PM      7.54  30952.76
05:42:57 PM     17.77  38648.73
05:42:59 PM      8.50  37714.50
05:43:01 PM      7.61  39308.63
05:43:03 PM      7.50  38501.00
05:43:05 PM     11.73  34069.90
05:43:07 PM      8.63  37941.62
05:43:09 PM      7.54  32237.69
05:43:11 PM     11.56  37325.63
05:43:13 PM     13.13  38545.45
05:43:15 PM     15.38  38071.79
05:43:17 PM      8.59  37557.07
05:43:19 PM      8.63  37872.59
05:43:21 PM      7.50  36410.50
05:43:23 PM      6.03  37284.92
05:43:25 PM      6.03  37190.95
05:43:27 PM      6.12  37871.94
05:43:29 PM      6.00  33694.50
05:43:31 PM      7.61  38286.80
05:43:33 PM      6.60  37751.27
05:43:35 PM      6.00  36928.50
05:43:37 PM      6.63  38194.39
05:43:39 PM      6.06  37481.31
05:43:41 PM      6.09  38058.38
05:43:43 PM      6.09  33007.61
05:43:45 PM      6.09  34069.54
